case_number,case_date,factual_summary,li_discussed,controller_interests,interest_findings,factual_assumptions_interest,case_law_interest,necessity_discussed,necessity_found,strict_necessity,less_effective_means,factual_assumptions_necessity,data_minimisation,case_law_necessity,balancing_discussed,controller_side_interests,ds_side_interests,prevailing_side,factual_assumptions_balancing,case_law_balancing,charter_invoked,charter_articles,reasonable_expectations,expectations_detail,li_valid_basis,key_holdings_summary
C-275/06,2008-01-29,"Promusicae, a Spanish music producers' organisation, sought a court order requiring the internet service provider Telefonica to disclose the identities and physical addresses of users of the KaZaA peer-to-peer file-sharing program who were allegedly infringing copyright. Telefonica argued that Spanish law only permitted such data disclosure in criminal investigations or for public security and national defence purposes, not in civil proceedings.",Y,protection of intellectual property (copyright); effective judicial protection; protection of personal data and private life,"protection of intellectual property (copyright) > recognised as a fundamental right constituting a general principle of Community law, including as a component of the right to property | effective judicial protection > recognised as a fundamental right constituting a general principle of Community law | protection of personal data and private life > recognised as a fundamental right under Articles 7 and 8 of the Charter; the Court held that it must be balanced against the other rights at stake","This is a pre-GDPR case (2008) that does not concern Article 6(1)(f) GDPR. It is included because the Court performed a balancing of fundamental rights (intellectual property and effective judicial protection vs. privacy and data protection) that is directly relevant to the development of the legitimate interest doctrine. The balancing framework applied here — requiring a ""fair balance"" between fundamental rights and invoking proportionality — prefigures the structure later codified in Article 6(1)(f) GDPR.","C-479/04 > ""the fundamental right to property, which includes intellectual property rights such as copyright"" > Intellectual property rights such as copyright form part of the fundamental right to property. | C-154/04 and C-155/04 > cited for the proposition that the fundamental right to property constitutes a general principle of Community law > The right to property is a general principle of Community law. | C-432/05 > cited for the proposition that the fundamental right to effective judicial protection constitutes a general principle of Community law > Effective judicial protection is a general principle of Community law.",N,NA,N,N,N,N,N,Y,protection of intellectual property (copyright); right to effective judicial protection,right to respect for private life; right to protection of personal data,mixed,The Court assumed that the relevant EU directives are relatively general and leave Member States with necessary discretion to define transposition measures adapted to various situations | The Court assumed that the mechanisms for balancing the different rights are contained both in the directives themselves and in national transposition measures,"C-101/01 > ""the mechanisms allowing those different rights and interests to be balanced are contained, first, in Directive 2002/58 itself ... Second, they result from the adoption by the Member States of national provisions transposing those directives and their application by the national authorities"" > The balancing of rights is achieved through the directives and their national transposition. | C-101/01 > ""the Member States must, when transposing the directives mentioned above, take care to rely on an interpretation of the directives which allows a fair balance to be struck between the various fundamental rights protected by the Community legal order"" > Member States must strike a fair balance between fundamental rights when transposing directives. | C-305/05 > cited alongside Lindqvist for the proposition that Member States must not rely on an interpretation of directives that conflicts with fundamental rights or the principle of proportionality > Interpretation of directives must not conflict with fundamental rights or proportionality.",Y,"Art. 7 (respect for private life); Art. 8 (protection of personal data); Art. 17 (right to property, including intellectual property); Art. 47 (right to an effective remedy)",N,NA,unclear,"The Court held that EU directives do not require Member States to lay down an obligation to disclose personal data in civil proceedings to ensure effective copyright protection. However, Member States must, when transposing and implementing those directives, strike a fair balance between the fundamental rights at stake — intellectual property and effective judicial protection on one side, and privacy and data protection on the other — while respecting the principle of proportionality."
C-92/09 and C-93/09,2010-11-09,"Agricultural fund beneficiaries (a farming partnership and a full-time farmer) challenged the mandatory publication on the internet of their names and the precise amounts of EU agricultural aid (EAGF and EAFRD) they received, arguing that this publication violated their fundamental rights to privacy and data protection. The data was published on a searchable government website accessible to the general public.",Y,transparency regarding the use of Community funds in the Common Agricultural Policy; reinforcing public control of the money used; ensuring sound financial management of agricultural funds,"transparency regarding the use of Community funds in the Common Agricultural Policy > recognised as an objective of general interest by the EU | reinforcing public control of the money used > recognised as contributing to the appropriate use of public funds by the administration | ensuring sound financial management of agricultural funds > recognised as a legitimate aim, but no automatic priority can be conferred on the objective of transparency over the right to protection of personal data",N,"C-41/00 > ""It enables citizens to participate more closely in the decision-making process and guarantees that the administration enjoys greater legitimacy and is more effective and more accountable to the citizen in a democratic system"" > The principle of transparency is an objective of general interest. | C-465/00 and C-138/01 and C-139/01 > ""in a democratic society taxpayers have a right to be kept informed of the use of public funds"" > Public control of the use of funds contributes to appropriate use of public funds by the administration. | C-28/08 > cited for the principle that ""No automatic priority can be conferred on the objective of transparency over the right to protection of personal data"" > Transparency does not automatically override data protection rights, even when important economic interests are at stake.","Y > ""it is thus necessary to determine whether the Council of the European Union and the Commission balanced the European Union's interest in guaranteeing the transparency of its acts and ensuring the best use of public funds against the interference with the right of the beneficiaries concerned to respect for their private life in general and to the protection of their personal data in particular.""",N,Y,Y,"The aid represents between 30% and 70% of the total income of the beneficiaries concerned, allowing third parties to draw conclusions about their income | Publication was on a single freely consultable website per Member State with a search tool, without distinction based on duration, frequency, nature, or amount of aid",N,"C-73/07 > ""derogations and limitations in relation to the protection of personal data must apply only in so far as is strictly necessary"" > The strict necessity standard applies to limitations on data protection rights. | C-58/08 > ""the principle of proportionality, which is one of the general principles of European Union law, requires that measures implemented by acts of the European Union are appropriate for attaining the objective pursued and do not go beyond what is necessary to achieve it"" > Processing measures must be appropriate and not go beyond what is necessary.",Y,transparency regarding the use of EU funds in the CAP; public control of the use of public money; enabling citizens to participate in public debate on the direction of the CAP,right to respect for private life (Article 7 of the Charter); right to protection of personal data (Article 8 of the Charter),DS,"The amounts received by beneficiaries from EAGF and EAFRD represent a considerable part of their income (between 30% and 70%) | Publication of data by name on a freely consultable website allows third parties to draw conclusions about the beneficiaries' income | Less interfering measures such as limiting publication by name according to periods, frequency, nature or amount of aid were available but not considered by the institutions","C-465/00 and C-138/01 and C-139/01 > ""in a democratic society taxpayers have a right to be kept informed of the use of public funds"" > Taxpayers' right to be informed must be balanced against data subjects' rights. | C-28/08 > ""No automatic priority can be conferred on the objective of transparency over the right to protection of personal data"" > The balancing must be conducted without giving automatic priority to transparency, even when important economic interests are at stake.",Y,Art. 7; Art. 8; Art. 52(1),N,NA,N,"The Court held that the Council and Commission failed to properly balance the objective of transparency against the fundamental rights of natural persons under Articles 7 and 8 of the Charter. The blanket publication of names and exact amounts of all natural person beneficiaries, without any distinction based on duration, frequency, nature, or amount of aid, exceeded the limits imposed by the principle of proportionality and the strict necessity standard. For legal persons, however, the publication obligation was found proportionate."
C-468/10,2011-11-04,"Spanish trade associations (ASNEF and FECEMD) challenged Spanish data protection rules that required personal data to appear in public sources as a precondition for processing based on legitimate interest without consent. The Spanish law added this requirement on top of the conditions set out in Article 7(f) of Directive 95/46, effectively excluding processing of data not found in public sources.",Y,Legitimate interest of the data controller or of the third party or parties to whom the data are disclosed,"Legitimate interest of the data controller or third parties > The Court did not assess the legitimacy of any specific interest but confirmed that Article 7(f) of Directive 95/46 requires processing to be necessary for the purposes of the legitimate interests pursued, and that Member States cannot add additional conditions (such as requiring data to appear in public sources) beyond the two cumulative conditions set out in that provision.",N,N,"Y > ""Article 7(f) sets out two cumulative conditions that must be fulfilled in order for the processing of personal data to be lawful: firstly, the processing of the personal data must be necessary for the purposes of the legitimate interests pursued by the controller or by the third party or parties to whom the data are disclosed; and, secondly, such interests must not be overridden by the fundamental rights and freedoms of the data subject.""",N,N,N,N,N,N,Y,Legitimate interest of the data controller or of the third party or parties to whom the data are disclosed,"Fundamental rights and freedoms of the data subject, including the right to protection of personal data and the right to respect for private life",mixed,"The seriousness of the infringement of the data subject's fundamental rights can vary depending on whether the data already appear in public sources | Processing of data from non-public sources necessarily implies that information relating to the data subject's private life will become known to the data controller and potentially third parties, constituting a more serious infringement","C-92/09 and C-93/09 > ""the right to respect for private life with regard to the processing of personal data, recognised by Articles 7 and 8 of the Charter, concerns any information relating to an identified or identifiable individual"" > The right to respect for private life may be limited under certain conditions pursuant to Articles 8(2) and 52(1) of the Charter | C-275/06 > ""Member States must, when transposing Directive 95/46, take care to rely on an interpretation of that directive which allows a fair balance to be struck between the various fundamental rights and freedoms protected by the EU legal order"" > Member States must ensure a fair balance between fundamental rights when transposing the Directive",Y,Art. 7; Art. 8; Art. 52(1),N,NA,unclear,"The Court held that Article 7(f) of Directive 95/46 sets out two cumulative conditions for lawful processing based on legitimate interest -- necessity of the processing and non-override by the data subject's fundamental rights -- and that Member States cannot add additional requirements such as requiring data to appear in public sources. The Court emphasized that the balancing of interests must be carried out on a case-by-case basis, taking into account Articles 7 and 8 of the Charter, and that Member States may not categorically and in a generalised manner exclude processing of certain categories of personal data without allowing individual balancing."
C-70/10,2011-11-24,"SABAM, a copyright management society, sought a court order requiring Scarlet, an internet service provider, to install a filtering system to block its customers from sharing copyright-protected musical works via peer-to-peer networks without authorisation. Scarlet challenged the injunction as requiring general monitoring of all network communications and infringing EU law on data protection, freedom of expression, and freedom to conduct business.",Y,protection of intellectual property (copyright) held by rightholders such as SABAM; freedom to conduct a business enjoyed by ISPs such as Scarlet; right to protection of personal data of ISP customers; freedom to receive or impart information of ISP customers,"protection of intellectual property (copyright) > the Court recognised this as a fundamental right enshrined in Article 17(2) of the Charter, but held that it is not inviolable and must not be absolutely protected | freedom to conduct a business > the Court recognised this as a fundamental right under Article 16 of the Charter that must be balanced against intellectual property rights | right to protection of personal data > the Court recognised this as a fundamental right under Article 8 of the Charter that would be infringed by systematic analysis of content and collection of IP addresses | freedom to receive or impart information > the Court recognised this as a fundamental right under Article 11 of the Charter that could be undermined by a filtering system that cannot adequately distinguish lawful from unlawful content",Internet users using Scarlet's services were downloading copyright-protected works without authorisation via peer-to-peer networks | Scarlet is an ISP that provides only internet access and does not offer downloading or file-sharing services,"C-275/06 > ""the protection of the fundamental right to property, which includes the rights linked to intellectual property, must be balanced against the protection of other fundamental rights"" > The protection of intellectual property must be balanced against other fundamental rights; national authorities must strike a fair balance | C-324/09 > referenced for the proposition that national courts may order intermediaries to take measures to bring to an end and prevent infringements of intellectual property rights, but subject to limitations arising from EU directives and fundamental rights > Injunctions against intermediaries must respect limitations from Directives 2001/29, 2004/48, and 2000/31","Y > ""it is necessary to examine whether the injunction at issue in the main proceedings, which would require the ISP to install the contested filtering system, would oblige it, as part of that system, to actively monitor all the data of each of its customers in order to prevent any future infringement of intellectual-property rights.""",N,N,N,"Implementation of the filtering system would require the ISP to: (1) identify all electronic communications relating to peer-to-peer traffic among all customers, (2) identify files containing works claimed by rightholders, (3) determine which files are shared unlawfully, and (4) block unlawful file sharing | Such preventive monitoring would require active observation of all electronic communications on the ISP's network, encompassing all information transmitted and all customers",N,"C-324/09 > ""such a general monitoring obligation would be incompatible with Article 3 of Directive 2004/48, which states that the measures referred to by the directive must be fair and proportionate and must not be excessively costly"" > A general monitoring obligation imposed on an ISP is prohibited under Article 15(1) of Directive 2000/31 and incompatible with Directive 2004/48",Y,protection of intellectual property right (copyright) enjoyed by copyright holders,freedom to conduct a business enjoyed by ISPs; right to protection of personal data of ISP customers; freedom to receive or impart information of ISP customers,DS,"The filtering system would involve monitoring all electronic communications with no limitation in time, directed at all future infringements, and intended to protect both existing and future works not yet created | Installation of such a system would be complicated, costly, and permanent, imposed exclusively at the ISP's expense | The filtering system would involve systematic analysis of all content and collection and identification of users' IP addresses, which are protected personal data allowing precise identification of users | The system might not distinguish adequately between unlawful and lawful content, potentially blocking lawful communications","C-275/06 > ""in the context of measures adopted to protect copyright holders, national authorities and courts must strike a fair balance between the protection of copyright and the protection of the fundamental rights of individuals who are affected by such measures"" > National authorities must strike a fair balance between intellectual property protection and fundamental rights of affected individuals",Y,Art. 16 (freedom to conduct a business); Art. 17(2) (right to intellectual property); Art. 8 (right to protection of personal data); Art. 11 (freedom to receive or impart information),N,NA,N,"The Court held that EU directives (2000/31, 2001/29, 2004/48, 95/46, and 2002/58), read together in light of fundamental rights, preclude an injunction requiring an ISP to install a general filtering system covering all electronic communications of all customers, for an unlimited period, at the ISP's own expense. The injunction failed to strike a fair balance between copyright protection on one hand and the freedom to conduct business, the right to data protection, and freedom of information on the other. While this case does not address Article 6(1)(f) GDPR directly, the Court's balancing framework — weighing the legitimacy and proportionality of measures against competing fundamental rights — is a direct precursor to the legitimate interest balancing test."
C-212/13,2014-12-11,"Mr Rynes installed a camera system on his family home to protect his family's property, health, and life after years of attacks by unknown persons. The camera also monitored a public footpath and the entrance to the house opposite. One of the suspects identified through the recordings challenged the lawfulness of the surveillance system before the Czech data protection authority.",Y,"protection of the property, health and life of the controller's family and himself","protection of the property, health and life of the controller's family and himself > The Court acknowledged these as legitimate interests that could be taken into account under Article 7(f) of Directive 95/46, but did not conduct a full assessment of their legitimacy as the case focused on the household exception question",Mr Rynes and his family had for several years been subjected to attacks by unknown persons and the windows of the family home had been broken on several occasions between 2005 and 2007,N,N,NA,N,N,N,N,N,N,N,N,NA,N,N,Y,Art. 7; Art. 8,N,NA,unclear,"The Court did not rule on whether legitimate interest was a valid legal basis in this case. The case focused on whether the household exception in Article 3(2) of Directive 95/46 applied to home CCTV monitoring public space, which the Court answered in the negative. The Court merely noted in passing (paragraph 34) that the application of the Directive makes it possible to take into account legitimate interests pursued by the controller, such as protection of property, health and life, under Articles 7(f), 11(2), and 13(1)(d) and (g)."
C-580/13,2015-07-16,"Coty Germany, a perfume producer holding an exclusive licence for the Community trade mark Davidoff Hot Water, purchased a counterfeit perfume via an internet auction platform and paid into a bank account at the Stadtsparkasse. When Coty Germany asked the bank for the name and address of the account holder to pursue intellectual property enforcement, the bank refused by invoking banking secrecy.",Y,right to information concerning the identity of an IP infringer (Art. 8(1)(c) Directive 2004/48); right to an effective remedy for IP right holders (Art. 47 Charter); right to intellectual property (Art. 17(2) Charter),right to information concerning IP infringers > The Court held this is a necessary instrument for the effective exercise of the fundamental right to intellectual property and is protected under Directive 2004/48 | right to an effective remedy > The Court found this is guaranteed under Art. 47 Charter and serves to ensure effective exercise of the right to intellectual property | right to intellectual property > The Court held that an unlimited and unconditional banking secrecy provision is capable of seriously impairing the effective exercise of this fundamental right,A banking institution holding a current account used by a seller of counterfeit goods falls within the scope of Art. 8(1)(c) of Directive 2004/48 as a person providing services used in infringing activities on a commercial scale | Communication of a customer's name and address by a banking institution constitutes processing of personal data under Directive 95/46,"C-275/06 > ""EU law requires that, when transposing directives, the Member States take care to rely on an interpretation of them which allows a fair balance to be struck between the various fundamental rights protected by the EU legal order."" > Member States must strike a fair balance between fundamental rights when transposing directives | C-70/10 > ""a measure which results in serious infringement of a right protected by the Charter is to be regarded as not respecting the requirement that such a fair balance be struck between the fundamental rights which must be reconciled"" > A measure seriously infringing a Charter right fails the fair balance requirement | C-360/10 > cited alongside Scarlet Extended for same proposition regarding serious infringement of Charter rights and fair balance > ","Y > ""the competent judicial authorities may order that information on the origin and distribution networks of the goods or services which infringe an intellectual property right be provided by any person who was found to be providing on a commercial scale services used in the infringing activities""",Y,N,Y,"The Court assumed that if banking secrecy is invoked in an unlimited and unconditional manner, this frustrates the right to information and prevents competent authorities from ordering disclosure of necessary information | The Court noted it is for the referring court to determine whether other means or remedies exist in national law to obtain the necessary information",N,N,Y,right to an effective remedy (Art. 47 Charter); right to intellectual property including IP enforcement (Art. 17(2) Charter); right to information under Art. 8(1) Directive 2004/48,"right to protection of personal data (Art. 8 Charter, Directive 95/46); banking secrecy",DC,"The Court assumed that the national provision at issue allows an unlimited and unconditional refusal to disclose information based on banking secrecy, since its wording contains no condition or qualification | The Court noted this was ultimately for the referring court to determine","C-275/06 > ""when implementing the measures transposing those directives, the authorities and courts of the Member States must not only interpret their national law in a manner consistent with those directives but also make sure that they do not rely on an interpretation of them which would be in conflict with those fundamental rights or with the other general principles of EU law"" > National authorities must ensure their interpretation does not conflict with fundamental rights | C-70/10 > ""a measure which results in serious infringement of a right protected by the Charter is to be regarded as not respecting the requirement that such a fair balance be struck between the fundamental rights which must be reconciled"" > Serious infringement of a Charter right fails the fair balance test | C-360/10 > cited alongside Scarlet Extended for the same proposition on serious infringement and fair balance > ",Y,Art. 8 (protection of personal data); Art. 17(2) (intellectual property); Art. 47 (right to an effective remedy); Art. 52(1) (limitations on Charter rights must respect their essence),N,NA,N,"The Court held that Article 8(3)(e) of Directive 2004/48 precludes a national provision that allows, in an unlimited and unconditional manner, a banking institution to invoke banking secrecy to refuse to provide information concerning the name and address of an account holder suspected of IP infringement. Such a blanket refusal seriously impairs the fundamental right to an effective remedy and the right to intellectual property, failing to ensure the fair balance between competing fundamental rights that EU law requires."
C-582/14,2016-10-19,Mr Breyer accessed publicly available websites operated by German Federal institutions. Those institutions stored dynamic IP addresses and access dates in logfiles with the aim of preventing cyber attacks and prosecuting attackers. Mr Breyer sought an injunction to prevent the Federal Republic of Germany from storing his IP address after each consultation period.,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,NA,N,N,N,NA,N,NA,unclear,"The file provided contains only the factual background and the referring court's questions (paragraphs 13-28) but the Ruling section is empty. The Court's actual holdings on legitimate interest under Article 7(f) of Directive 95/46 (predecessor to Article 6(1)(f) GDPR) are not included in the document, making it impossible to code the Court's reasoning on this topic."
C-13/16,2017-05-04,"A trolleybus operated by Rīgas satiksme was damaged when a taxi passenger opened the car door, scraping the trolleybus. Rīgas satiksme sought the passenger's personal data (identity document number and address) from the national police in order to bring a civil action for damages, but the police refused to disclose the full information.",Y,The interest of a third party in obtaining personal data of a person who damaged their property in order to sue that person for damages,The interest of a third party in obtaining personal data to sue for damages > qualifies as a legitimate interest,N,"C-275/06 > ""the interest of a third party in obtaining the personal information of a person who damaged their property in order to sue that person for damages can be qualified as a legitimate interest"" > Pursuing compensation for property damage through civil proceedings is a legitimate interest","Y > ""it should be borne in mind that derogations and limitations in relation to the protection of personal data must apply only in so far as is strictly necessary""",Y,Y,N,Communication of merely the first name and surname of the person who caused the damage does not make it possible to identify that person with sufficient precision in order to be able to bring an action against him; accordingly it is necessary to obtain also the address and/or the identification number of that person,N,"C-92/09 and C-93/09 > ""derogations and limitations in relation to the protection of personal data must apply only in so far as is strictly necessary"" > The strict necessity standard applies to processing of personal data | C-473/12 > ""derogations and limitations in relation to the protection of personal data must apply only in so far as is strictly necessary"" > Same strict necessity standard confirmed | C-212/13 > ""derogations and limitations in relation to the protection of personal data must apply only in so far as is strictly necessary"" > Same strict necessity standard confirmed",Y,The interest of the injured third party (Rīgas satiksme) in obtaining personal data necessary for bringing an action for damages,The fundamental rights and freedoms of the data subject (taxi passenger); The data subject's age (minority) as a factor in the balancing,mixed,The age of the data subject (being a minor) does not appear to justify refusing to disclose personal data necessary for bringing an action for damages | The seriousness of the infringement of fundamental rights can vary depending on the possibility of accessing the data in public sources,"C-468/10 > ""it depends in principle on the specific circumstances of the particular case"" > The balancing of opposing rights and interests depends on the specific circumstances | C-582/14 > ""it depends in principle on the specific circumstances of the particular case"" > Same principle confirmed | C-468/10 > ""it is possible to take into consideration the fact that the seriousness of the infringement of the data subject's fundamental rights resulting from that processing can vary depending on the possibility of accessing the data at issue in public sources"" > Public availability of data is a relevant factor in balancing",N,NA,N,NA,unclear,"The Court held that Article 7(f) of Directive 95/46 does not impose an obligation to disclose personal data to a third party to enable civil proceedings, but it does not preclude such disclosure on the basis of national law. The Court confirmed that suing for property damage is a legitimate interest and that obtaining the address or identification number is necessary when a name alone is insufficient for identification, while the balancing of interests depends on the specific circumstances of the case."
C-708/18,2019-12-11,"An association of co-owners of a residential building installed a video surveillance system (three cameras) in the common parts of the building to protect against vandalism, burglaries, and thefts. A co-owner (TK) objected to the system, claiming it infringed his right to respect for private life, and sought an order requiring the cameras to be removed.",Y,"protecting the property, health and life of the co-owners of a building; ensuring the safety and protection of individuals and property; preventing crime","protecting the property, health and life of the co-owners of a building > the Court found this is ""likely to be characterised as a 'legitimate interest'"" and the first condition ""appears, therefore, in principle, to be fulfilled"" | the interest must be ""present and effective"" at the date of processing and not hypothetical, but it cannot be required that safety was previously compromised > ","The interests must be present and effective as at the date of the data processing and must not be hypothetical at that date, but it cannot be necessarily required that the safety of property and individuals was previously compromised | In this case the condition relating to the existence of a present and effective interest seemed fulfilled since thefts, burglaries and acts of vandalism had occurred before the video surveillance system was installed despite the previous installation of a security system","C-212/13 > ""The objective which the controller essentially seeks to achieve when he or she installs a video surveillance system such as that at issue in the main proceedings, namely protecting the property, health and life of the co-owners of a building, is likely to be characterised as a 'legitimate interest', within the meaning of Article 7 of Directive 95/46. The first condition laid down in that provision appears, therefore, in principle, to be fulfilled (see, by analogy, judgment of 11 December 2014, Ryneš, paragraph 34)."" > Protecting property, health and life of co-owners is likely a legitimate interest","Y > ""the need to process personal data for the purposes of the legitimate interests pursued""",N,Y,Y,Alternative measures consisting in a security system comprising an intercom/magnetic card entry were initially put in place but proved insufficient | The video surveillance device was limited only to the common parts of the building and the approach to it,"The Court invoked data minimisation to assess whether the processing was proportionate, requiring that it be examined in conjunction with necessity > ""the condition relating to the need for processing must be examined in conjunction with the 'data minimisation' principle enshrined in Article 6 of Directive 95/46, in accordance with which personal data must be 'adequate, relevant and not excessive in relation to the purposes for which they are collected and/or further processed'""","C-13/16 > ""derogations and limitations in relation to the protection of personal data must apply only in so far as is strictly necessary (judgment of 4 May 2017, Rīgas satiksme, paragraph 30 and the case-law cited)"" > Processing must be strictly necessary and cannot reasonably be achieved as effectively by other less restrictive means",Y,"protecting the property, health and life of co-owners of the building; ensuring the safety and protection of individuals and property; preventing crime",right to respect for private life (Article 7 of the Charter); right to the protection of personal data (Article 8 of the Charter),mixed,"The seriousness of the infringement varies depending on whether data comes from public or non-public sources; video surveillance of common parts of a building implies processing of data from non-public sources, constituting a more serious infringement | The nature of the personal data, the potentially sensitive nature of the data, the number of persons having access, and the methods of accessing them must be considered | The data subject's reasonable expectations that personal data will not be processed are relevant","C-468/10 > ""the assessment of the condition laid down in that provision, relating to the existence of fundamental rights and freedoms of the data subject which override the legitimate interests pursued by the controller or by the third party or parties to whom the data are disclosed, necessitates a balancing of the opposing rights and interests concerned which depends on the individual circumstances of the particular case in question, and in the context of which account must be taken of the significance of the data subject's rights arising from Articles 7 and 8 of the Charter"" > Balancing must be done on a case-by-case basis taking into account the significance of the data subject's Charter rights | C-582/14 > ""Article 7 of Directive 95/46 precludes Member States from excluding, categorically and in general, the possibility of processing certain categories of personal data without allowing the opposing rights and interests at issue to be balanced against each other in a particular case."" > Member States cannot definitively prescribe the result of balancing for certain categories of data without allowing a different result in individual cases | C-13/16 > ""it is possible to take into consideration, for the purposes of that balancing, the fact that the seriousness of the infringement of the data subject's fundamental rights resulting from that processing can vary depending on the possibility of accessing the data at issue in public sources"" > The seriousness of the infringement depends on whether data is from public or non-public sources",Y,Art. 7; Art. 8; Art. 52,Y,"The data subject's reasonable expectations that personal data will not be processed when the person cannot reasonably expect further processing of those data > relevant factor in the balancing exercise, but no definitive outcome stated as this was left to the referring court",unclear,"The Court held that EU law does not preclude national provisions authorising the installation of a video surveillance system in common parts of a residential building for purposes of ensuring safety and protection of individuals and property, without the data subject's consent, provided the three conditions of Article 7(f) of Directive 95/46 are met. The Court outlined the framework for assessing those conditions but left the final determination to the referring court, finding that the interest appeared legitimate in principle, that necessity must be assessed under a strict necessity standard alongside data minimisation, and that balancing must account for the seriousness of the infringement of Charter rights."
C-597/19,2021-06-17,"Mircom, a company holding intellectual property rights assigned by film producers, sought to compel the internet service provider Telenet to disclose the identification data of customers whose IP addresses had been recorded by Media Protector while those customers allegedly shared copyrighted films on a peer-to-peer network using the BitTorrent protocol. Telenet and other ISPs opposed the request, questioning Mircom's standing and the lawfulness of the IP address collection under the GDPR.",Y,Obtaining personal information of persons who allegedly damaged property (intellectual property) in order to sue them for damages; Recovery of claims by an assignee of intellectual property rights,"Obtaining personal information of persons who allegedly damaged property in order to sue them for damages > qualifies as a legitimate interest, supported by Article 9(2)(e) and (f) of Regulation 2016/679 | Recovery of claims by an assignee > may constitute a legitimate interest justifying the processing of personal data under Article 6(1)(f) GDPR",N,"C-13/16 > ""the pursuit of a legitimate interest by the data controller or by a third party; second, the need to process personal data for the purposes of the legitimate interests pursued; and third, that the interests or freedoms and fundamental rights of the person concerned by the data protection do not take precedence"" > The Court relied on Rigas satiksme to set out the three cumulative conditions for lawful processing under Article 6(1)(f) and to confirm that obtaining personal data to sue for damages can be a legitimate interest | C-119/12 > ""the recovery of claims in the prescribed manner by an assignee may constitute a legitimate interest justifying the processing of personal data in accordance with point (f) of the first subparagraph of Article 6(1) of Regulation 2016/679"" > Recovery of claims by an assignee may constitute a legitimate interest","Y > ""As regards the condition relating to the necessity of processing personal data for the purposes of the legitimate interests pursued, it should be borne in mind that derogations and limitations in relation to the protection of personal data must apply only in so far as is strictly necessary""",Y,Y,N,Identification of the owner of the connection is often possible only on the basis of the IP address and the information provided by the Internet service provider,N,"C-13/16 > ""derogations and limitations in relation to the protection of personal data must apply only in so far as is strictly necessary"" > The strict necessity standard applies to the assessment of whether processing is necessary for the legitimate interest pursued",Y,Right to intellectual property; Interest in obtaining personal data to bring civil claims for damages,Right to protection of personal data; Right to privacy; Protection of traffic data under Directive 2002/58,mixed,"The Court assumed that data relating to the civil identity of users (names and addresses) do not normally make it possible to ascertain information on communications or private lives, so interference by a measure relating to those data cannot in principle be classified as serious | The Court assumed that Mircom's request for information presupposes that Telenet performs a match between dynamic IP addresses, which constitutes processing of traffic data","C-275/06 > ""the mechanisms allowing the different rights and interests to be balanced are contained in Regulation 2016/679 itself"" > The balancing mechanisms are already contained within the GDPR framework | C-13/16 > ""it depends in principle on the specific circumstances of the particular case"" > The balancing of opposing rights and interests depends on the specific circumstances of each case | C-264/19 > ""a request, in accordance with Article 8 of Directive 2004/48, limited to the disclosure of the names and addresses of users involved in infringing activities is consistent with the objective of striking a fair balance between the rights of intellectual property rightholders and the right of users to protection of personal data"" > Disclosure limited to names and addresses is consistent with fair balance | C-746/18 > ""the interference entailed by a measure relating to those data cannot, in principle, be classified as serious"" > Disclosure of civil identity data does not in principle constitute serious interference",Y,Art. 8,N,NA,unclear,"The Court held that Article 6(1)(f) GDPR, read in conjunction with Article 15(1) of Directive 2002/58, does not in principle preclude either the systematic recording of IP addresses of peer-to-peer network users or the communication of their names and postal addresses to the rightholder for civil claims, provided that such initiatives are justified, proportionate, not abusive, and have their legal basis in a national legislative measure under Article 15(1) of Directive 2002/58. The Court left it to the referring court to verify whether such national legislative measures exist and to carry out the actual balancing of interests in the specific circumstances."
